Año,Folio,Fecha,Estado,Municipio,Localidad,Lugar,Tipo,Instrumento,Estatus,Especie
2011,,,Baja California,Ensenada,La Bufadora,EJIDO ESTEBAN CANTU,,,Atendido,
2011,,,Baja California,Mexicali,San Felipe,MUELLE,,,Atendido,
2011,,,Baja California,Mexicali,San Felipe,MALECÓN Y MUELLES,,,Atendido,
2011,,,Baja California,Ensenada,El Rosarlo de Abajo,PUNTA BAJA,,,Atendido,
2011,,,Baja California Sur,Comondú,Ciudad Constitución,LA BOCANA,,,Atendido,
2011,,,Baja California Sur,Comondú,Puerto Magdalena,BAHIA MAGDELENA,,,Atendido,
2011,,,Baja California Sur,Comondú,Puerto Magdalena,PUERTO SAN CARLOS,,,Atendido,
2011,,,Campeche,Campeche,Bethania,NO ESPECIFICADO,,,Atendido,
2011,,,Campeche,Campeche,San Francisco de Campeche,LERMA,,,Atendido,
2011,,,Campeche,Campeche,San Francisco de Campeche,OFICINAS,,,Atendido,
2011,,,Campeche,Champotón,Champotón,FRENTE AL SALÓN CORAL,,,Atendido,
2011,,,Chiapas,Tonalá,Boca del Cielo,RANCHO SAN RAMON,,,Atendido,
2011,,,Colima,Colima,El Astillero de Abajo,CERRITOS,,,Atendido,
2011,,,Colima,Tecomán,Tecomán,TECOMAN,,,Atendido,
2011,,,Guanajuato,León,León de los Al dama,LEON,,,Atendido,
2011,,,Guanajuato,Acámbaro,Iramuco,LAGO DE CUITZEO,,,Atendido,
2011,,,Guanajuato,Yuriria,Aragón,LANGOSTURA,,,Atendido,
2011,,,Jalisco,Unión de Tula,Unión de Tula,PRESATRIGOMIL,,,Atendido,
2011,,,Jalisco,Amatitán,Amatitán,"CHAMELA Y PERULA, BARRA DE NAVIDAD",,,Atendido,
2011,,,Jalisco,Degollado,Huáscato,PRESA LA POLVORA,,,Atendido,
2011,,,Jalisco,Cabo Corrientes,Tehuamixtie (Tehualmixtie),TEHUAMIXTLE,,,Atendido,
2011,,,Jalisco,La Huerta,Pérula,PUNTA PERULA,,,Atendido,
